dataset,method,question_type_a,question_type_b,js_divergence
fdarxbench,bm25,fda_factual,fda_multihop,0.0053
fdarxbench,bm25,fda_factual,fda_refusal,0.0235
fdarxbench,bm25,fda_multihop,fda_refusal,0.0195
fdarxbench,bm25,ALL,MEAN,0.0161
fdarxbench,hybrid,fda_factual,fda_multihop,0.0079
fdarxbench,hybrid,fda_factual,fda_refusal,0.0295
fdarxbench,hybrid,fda_multihop,fda_refusal,0.019
fdarxbench,hybrid,ALL,MEAN,0.0188
fdarxbench,kg,fda_factual,fda_multihop,0.0063
fdarxbench,kg,fda_factual,fda_refusal,0.0157
fdarxbench,kg,fda_multihop,fda_refusal,0.0416
fdarxbench,kg,ALL,MEAN,0.0212
fdarxbench,skill_hybrid,fda_factual,fda_multihop,0.0579
fdarxbench,skill_hybrid,fda_factual,fda_refusal,0.0586
fdarxbench,skill_hybrid,fda_multihop,fda_refusal,0.1992
fdarxbench,skill_hybrid,ALL,MEAN,0.1052
fdarxbench,skill_schema_v1,fda_factual,fda_multihop,0.0
fdarxbench,skill_schema_v1,fda_factual,fda_refusal,0.0
fdarxbench,skill_schema_v1,fda_multihop,fda_refusal,0.0
fdarxbench,skill_schema_v1,ALL,MEAN,0.0
mol_instructions,bm25,biomedical_open_qa,molecule_description,0.0625
mol_instructions,bm25,biomedical_open_qa,molecule_design,0.0572
mol_instructions,bm25,biomedical_open_qa,molecule_property,0.1444
mol_instructions,bm25,molecule_description,molecule_design,0.1895
mol_instructions,bm25,molecule_description,molecule_property,0.2551
mol_instructions,bm25,molecule_design,molecule_property,0.1127
mol_instructions,bm25,ALL,MEAN,0.1369
mol_instructions,hybrid,biomedical_open_qa,molecule_description,0.0208
mol_instructions,hybrid,biomedical_open_qa,molecule_design,0.0555
mol_instructions,hybrid,biomedical_open_qa,molecule_property,0.1326
mol_instructions,hybrid,molecule_description,molecule_design,0.1364
mol_instructions,hybrid,molecule_description,molecule_property,0.2155
mol_instructions,hybrid,molecule_design,molecule_property,0.1039
mol_instructions,hybrid,ALL,MEAN,0.1108
mol_instructions,kg,biomedical_open_qa,molecule_description,0.0
mol_instructions,kg,biomedical_open_qa,molecule_design,0.0
mol_instructions,kg,biomedical_open_qa,molecule_property,0.0
mol_instructions,kg,molecule_description,molecule_design,0.0
mol_instructions,kg,molecule_description,molecule_property,0.0
mol_instructions,kg,molecule_design,molecule_property,0.0
mol_instructions,kg,ALL,MEAN,0.0
mol_instructions,skill_hybrid,biomedical_open_qa,molecule_description,0.3144
mol_instructions,skill_hybrid,biomedical_open_qa,molecule_design,0.3392
mol_instructions,skill_hybrid,biomedical_open_qa,molecule_property,0.2855
mol_instructions,skill_hybrid,molecule_description,molecule_design,0.2303
mol_instructions,skill_hybrid,molecule_description,molecule_property,0.0234
mol_instructions,skill_hybrid,molecule_design,molecule_property,0.1126
mol_instructions,skill_hybrid,ALL,MEAN,0.2176
mol_instructions,skill_schema_v1,biomedical_open_qa,molecule_description,0.3439
mol_instructions,skill_schema_v1,biomedical_open_qa,molecule_design,0.3439
mol_instructions,skill_schema_v1,molecule_description,molecule_design,0.0
mol_instructions,skill_schema_v1,ALL,MEAN,0.2293
