dataset,question_type,method,skill,dominant_source,dominant_share,source_entropy_bits,source_entropy_norm,effective_sources,oracle_source_share,oracle_support_share,share_primekg,share_drugchat_chembl,share_drugchat_pubchem,share_fdarxbench_label
fdarxbench,fda_factual,bm25,fda_label_factual,fdarxbench_label,0.5325,1.7131,0.8565,3.2786,0.5325,0.9822,0.2158,0.1359,0.1159,0.5325
fdarxbench,fda_factual,hybrid,fda_label_factual,fdarxbench_label,0.5813,1.6095,0.8048,3.0515,0.5813,0.9781,0.207,0.1166,0.095,0.5813
fdarxbench,fda_factual,kg,fda_label_factual,fdarxbench_label,0.6556,0.929,0.4645,1.9039,0.6556,0.9679,0.3444,0.0,0.0,0.6556
fdarxbench,fda_factual,skill_hybrid,fda_label_factual,fdarxbench_label,0.8889,0.5033,0.2517,1.4175,0.8889,0.999,0.1111,0.0,0.0,0.8889
fdarxbench,fda_factual,skill_schema_v1,fda_label_factual,fdarxbench_label,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
fdarxbench,fda_multihop,bm25,fda_label_multihop,fdarxbench_label,0.5594,1.6495,0.8247,3.1372,0.5594,0.9878,0.2106,0.0864,0.1436,0.5594
fdarxbench,fda_multihop,hybrid,fda_label_multihop,fdarxbench_label,0.5585,1.6322,0.8161,3.0999,0.5585,0.9911,0.2229,0.0729,0.1457,0.5585
fdarxbench,fda_multihop,kg,fda_label_multihop,fdarxbench_label,0.7413,0.8248,0.4124,1.7713,0.7413,0.98,0.2587,0.0,0.0,0.7413
fdarxbench,fda_multihop,skill_hybrid,fda_label_multihop,fdarxbench_label,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
fdarxbench,fda_multihop,skill_schema_v1,fda_label_multihop,fdarxbench_label,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
fdarxbench,fda_refusal,bm25,fda_label_factual,fdarxbench_label,0.4535,1.6793,0.8396,3.2027,0.4535,0.9885,0.3581,0.068,0.1203,0.4535
fdarxbench,fda_refusal,hybrid,fda_label_factual,fdarxbench_label,0.4436,1.6784,0.8392,3.2007,0.4436,0.9888,0.3698,0.0667,0.12,0.4436
fdarxbench,fda_refusal,kg,fda_label_factual,fdarxbench_label,0.5103,0.9997,0.4998,1.9996,0.5103,1.0,0.4897,0.0,0.0,0.5103
fdarxbench,fda_refusal,skill_hybrid,fda_label_factual,fdarxbench_label,0.6542,0.9303,0.4652,1.9057,0.6542,1.0,0.3458,0.0,0.0,0.6542
fdarxbench,fda_refusal,skill_schema_v1,fda_label_factual,fdarxbench_label,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
mol_instructions,biomedical_open_qa,bm25,biomedical_open_qa,primekg,0.3305,1.9725,0.9862,3.9244,1.0,1.0,0.3305,0.2159,0.2023,0.2512
mol_instructions,biomedical_open_qa,hybrid,biomedical_open_qa,primekg,0.3326,1.9712,0.9856,3.9208,1.0,1.0,0.3326,0.2155,0.201,0.2508
mol_instructions,biomedical_open_qa,kg,biomedical_open_qa,primekg,1.0,-0.0,-0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
mol_instructions,biomedical_open_qa,skill_hybrid,biomedical_open_qa,drugchat_pubchem,0.2915,1.9918,0.9959,3.9774,1.0,1.0,0.247,0.2449,0.2915,0.2166
mol_instructions,biomedical_open_qa,skill_schema_v1,biomedical_open_qa,fdarxbench_label,0.2903,1.9864,0.9932,3.9624,1.0,1.0,0.247,0.1977,0.2651,0.2903
