dataset,question_type,method,relation,examples_with_evidence,avg_facts,mean_within_prompt_share
fdarxbench,fda_factual,bm25,contraindication,27,1.7778,0.2222
fdarxbench,fda_factual,bm25,disease_phenotype_negative,1,1.0,0.125
fdarxbench,fda_factual,bm25,disease_phenotype_positive,43,2.5581,0.3198
fdarxbench,fda_factual,bm25,disease_protein,5,1.8,0.225
fdarxbench,fda_factual,bm25,drug_drug,5,2.8,0.35
fdarxbench,fda_factual,bm25,drug_effect,9,1.7778,0.2222
fdarxbench,fda_factual,bm25,drug_protein,2,2.5,0.3125
fdarxbench,fda_factual,bm25,exposure_disease,2,1.5,0.1875
fdarxbench,fda_factual,bm25,indication,27,1.7778,0.2222
fdarxbench,fda_factual,bm25,instruction_fact,42,1.7857,0.2232
fdarxbench,fda_factual,bm25,label_context,578,7.4031,0.9254
fdarxbench,fda_factual,bm25,off-label use,4,3.0,0.375
fdarxbench,fda_factual,bm25,pathway_protein,3,1.3333,0.1667
fdarxbench,fda_factual,hybrid,contraindication,34,1.7059,0.2132
fdarxbench,fda_factual,hybrid,disease_phenotype_positive,30,2.6333,0.3292
fdarxbench,fda_factual,hybrid,disease_protein,4,2.25,0.2812
fdarxbench,fda_factual,hybrid,drug_drug,14,2.2143,0.2768
fdarxbench,fda_factual,hybrid,drug_effect,12,1.5,0.1875
fdarxbench,fda_factual,hybrid,drug_protein,9,2.1111,0.2639
fdarxbench,fda_factual,hybrid,exposure_disease,2,1.5,0.1875
fdarxbench,fda_factual,hybrid,indication,28,1.8929,0.2366
fdarxbench,fda_factual,hybrid,instruction_fact,13,1.3077,0.1635
fdarxbench,fda_factual,hybrid,label_context,578,7.4775,0.9347
fdarxbench,fda_factual,hybrid,off-label use,4,3.0,0.375
fdarxbench,fda_factual,hybrid,pathway_protein,2,1.5,0.1875
fdarxbench,fda_factual,kg,contraindication,85,2.0706,0.2588
fdarxbench,fda_factual,kg,disease_phenotype_positive,42,2.9286,0.3661
fdarxbench,fda_factual,kg,disease_protein,6,2.3333,0.2917
fdarxbench,fda_factual,kg,drug_drug,84,2.869,0.3586
fdarxbench,fda_factual,kg,drug_effect,25,1.84,0.23
fdarxbench,fda_factual,kg,drug_protein,22,1.8636,0.233
fdarxbench,fda_factual,kg,exposure_disease,4,3.25,0.4062
fdarxbench,fda_factual,kg,indication,38,1.9474,0.2434
fdarxbench,fda_factual,kg,label_context,578,6.6626,0.8391
fdarxbench,fda_factual,kg,off-label use,5,2.6,0.325
fdarxbench,fda_factual,kg,pathway_protein,1,3.0,0.375
fdarxbench,fda_factual,skill_hybrid,contraindication,1,1.0,0.125
fdarxbench,fda_factual,skill_hybrid,label_context,578,7.9983,0.9998
fdarxbench,fda_factual,skill_schema_v1,label_context,578,3.0,1.0
fdarxbench,fda_multihop,bm25,contraindication,5,1.4,0.175
fdarxbench,fda_multihop,bm25,disease_phenotype_negative,1,1.0,0.125
fdarxbench,fda_multihop,bm25,disease_phenotype_positive,11,2.7273,0.3409
fdarxbench,fda_multihop,bm25,disease_protein,1,1.0,0.125
fdarxbench,fda_multihop,bm25,drug_protein,1,2.0,0.25
fdarxbench,fda_multihop,bm25,indication,3,1.6667,0.2083
fdarxbench,fda_multihop,bm25,instruction_fact,19,2.0,0.25
fdarxbench,fda_multihop,bm25,label_context,204,7.549,0.9436
fdarxbench,fda_multihop,bm25,pathway_protein,3,2.6667,0.3333
fdarxbench,fda_multihop,hybrid,contraindication,8,2.0,0.25
fdarxbench,fda_multihop,hybrid,disease_phenotype_negative,1,1.0,0.125
fdarxbench,fda_multihop,hybrid,disease_phenotype_positive,5,3.6,0.45
