dataset,question_type,method,source,examples_with_evidence,avg_facts,mean_within_prompt_share
fdarxbench,fda_factual,bm25,drugchat_chembl,9,1.8889,0.2361
fdarxbench,fda_factual,bm25,drugchat_pubchem,36,1.6111,0.2014
fdarxbench,fda_factual,bm25,fdarxbench_label,578,7.4031,0.9254
fdarxbench,fda_factual,bm25,primekg,90,3.0,0.375
fdarxbench,fda_factual,hybrid,drugchat_chembl,4,1.5,0.1875
fdarxbench,fda_factual,hybrid,drugchat_pubchem,9,1.2222,0.1528
fdarxbench,fda_factual,hybrid,fdarxbench_label,578,7.4775,0.9347
fdarxbench,fda_factual,hybrid,primekg,107,2.6636,0.3329
fdarxbench,fda_factual,kg,fdarxbench_label,578,6.6626,0.8391
fdarxbench,fda_factual,kg,primekg,211,3.5261,0.4408
fdarxbench,fda_factual,skill_hybrid,fdarxbench_label,578,7.9983,0.9998
fdarxbench,fda_factual,skill_hybrid,primekg,1,1.0,0.125
fdarxbench,fda_factual,skill_schema_v1,fdarxbench_label,578,3.0,1.0
fdarxbench,fda_multihop,bm25,drugchat_chembl,6,1.1667,0.1458
fdarxbench,fda_multihop,bm25,drugchat_pubchem,16,1.9375,0.2422
fdarxbench,fda_multihop,bm25,fdarxbench_label,204,7.549,0.9436
fdarxbench,fda_multihop,bm25,primekg,19,2.8421,0.3553
fdarxbench,fda_multihop,hybrid,drugchat_chembl,2,1.0,0.125
fdarxbench,fda_multihop,hybrid,drugchat_pubchem,7,2.0,0.25
fdarxbench,fda_multihop,hybrid,fdarxbench_label,204,7.6667,0.9583
fdarxbench,fda_multihop,hybrid,primekg,17,3.0588,0.3824
fdarxbench,fda_multihop,kg,fdarxbench_label,204,7.2549,0.9112
fdarxbench,fda_multihop,kg,primekg,57,2.5439,0.318
fdarxbench,fda_multihop,skill_hybrid,fdarxbench_label,204,8.0,1.0
fdarxbench,fda_multihop,skill_schema_v1,fdarxbench_label,204,4.0,1.0
fdarxbench,fda_refusal,bm25,drugchat_chembl,1,1.0,0.125
fdarxbench,fda_refusal,bm25,drugchat_pubchem,13,1.7692,0.2212
fdarxbench,fda_refusal,bm25,fdarxbench_label,175,6.6686,0.8336
fdarxbench,fda_refusal,bm25,primekg,105,5.2667,0.6583
fdarxbench,fda_refusal,hybrid,drugchat_chembl,1,1.0,0.125
fdarxbench,fda_refusal,hybrid,drugchat_pubchem,10,1.8,0.225
fdarxbench,fda_refusal,hybrid,fdarxbench_label,180,6.6556,0.8319
fdarxbench,fda_refusal,hybrid,primekg,95,5.5474,0.6934
fdarxbench,fda_refusal,kg,fdarxbench_label,129,6.0233,0.9186
fdarxbench,fda_refusal,kg,primekg,38,7.0526,0.8816
fdarxbench,fda_refusal,skill_hybrid,fdarxbench_label,215,7.6419,0.9552
fdarxbench,fda_refusal,skill_hybrid,primekg,25,4.04,0.505
fdarxbench,fda_refusal,skill_schema_v1,fdarxbench_label,218,2.0,1.0
mol_instructions,biomedical_open_qa,bm25,drugchat_chembl,23,3.3913,0.4239
mol_instructions,biomedical_open_qa,bm25,drugchat_pubchem,180,3.1778,0.3972
mol_instructions,biomedical_open_qa,bm25,fdarxbench_label,150,3.9467,0.4933
mol_instructions,biomedical_open_qa,bm25,primekg,146,5.1918,0.649
mol_instructions,biomedical_open_qa,hybrid,drugchat_chembl,23,3.3913,0.4239
mol_instructions,biomedical_open_qa,hybrid,drugchat_pubchem,179,3.162,0.3953
mol_instructions,biomedical_open_qa,hybrid,fdarxbench_label,150,3.9467,0.4933
mol_instructions,biomedical_open_qa,hybrid,primekg,146,5.2329,0.6541
mol_instructions,biomedical_open_qa,kg,primekg,4,6.5,1.0
mol_instructions,biomedical_open_qa,skill_hybrid,drugchat_chembl,72,3.9306,0.4913
mol_instructions,biomedical_open_qa,skill_hybrid,drugchat_pubchem,205,4.678,0.5848
mol_instructions,biomedical_open_qa,skill_hybrid,fdarxbench_label,153,3.4771,0.4346
