model,dataset,question_type,selected_method,discovery_utility,fixed_method
llama3_2_3b,fdarxbench,fda_factual,bm25,0.757234,rrf
llama3_2_3b,fdarxbench,fda_multihop,rrf,0.638254,rrf
llama3_2_3b,fdarxbench,fda_refusal,rrf,1.0,rrf
llama3_2_3b,mol_instructions,biomedical_open_qa,kg,0.434408,kg
llama3_2_3b,mol_instructions,molecule_description,kg,0.604422,kg
llama3_2_3b,mol_instructions,molecule_design,rrf,0.0,kg
llama3_2_3b,mol_instructions,molecule_property,kg,0.296,kg
qwen2_5_3b,fdarxbench,fda_factual,dense_bge,0.739264,dense_bge
qwen2_5_3b,fdarxbench,fda_multihop,bm25,0.61949,dense_bge
qwen2_5_3b,fdarxbench,fda_refusal,rrf,1.0,dense_bge
qwen2_5_3b,mol_instructions,biomedical_open_qa,bm25,0.427726,kg
qwen2_5_3b,mol_instructions,molecule_description,hybrid,0.610329,kg
qwen2_5_3b,mol_instructions,molecule_design,rrf,0.0,kg
qwen2_5_3b,mol_instructions,molecule_property,kg,0.272,kg
qwen2_5_7b,fdarxbench,fda_factual,kg,0.753802,kg
qwen2_5_7b,fdarxbench,fda_multihop,kg,0.657146,kg
qwen2_5_7b,fdarxbench,fda_refusal,rrf,1.0,kg
qwen2_5_7b,mol_instructions,biomedical_open_qa,dense_medcpt,0.431559,kg
qwen2_5_7b,mol_instructions,molecule_description,kg,0.600943,kg
qwen2_5_7b,mol_instructions,molecule_design,kg,0.007407,kg
qwen2_5_7b,mol_instructions,molecule_property,kg,0.304,kg
